route_name,route_link
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh
Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore
Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
Bangalore to Kadiri,https://www.redbus.in/bus-tickets/bangalore-to-kadiri
Bangalore to Madanapalli,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli
Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore
Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore
Madanapalli to Bangalore,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore
Guntur (Andhra Pradesh) to Hyderabad,https://www.redbus.in/bus-tickets/guntur-to-hyderabad
Hyderabad to Narasaraopet,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur
