route_name,route_link
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune
Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa
Belagavi to Goa,https://www.redbus.in/bus-tickets/belagavi-to-goa
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore
Goa to Belagavi,https://www.redbus.in/bus-tickets/goa-to-belagavi
Hyderabad to Goa,https://www.redbus.in/bus-tickets/hyderabad-to-goa
Goa to Hyderabad,https://www.redbus.in/bus-tickets/goa-to-hyderabad
Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa
Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur
Hyderabad to Belagavi,https://www.redbus.in/bus-tickets/hyderabad-to-belagavi
Belagavi to Marcel,https://www.redbus.in/bus-tickets/belagavi-to-marcel
Marcel to Belagavi,https://www.redbus.in/bus-tickets/marcel-to-belagavi
Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa
Ponda to Belagavi,https://www.redbus.in/bus-tickets/ponda-to-belagavi
Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur
