route_name,route_link
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
Hazaribagh to Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Patna (Bihar) to Madhubani (Bihar),https://www.redbus.in/bus-tickets/patna-to-madhubani
Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
Patna (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
Katihar to Patna (Bihar),https://www.redbus.in/bus-tickets/katihar-to-patna
Patna (Bihar) to Darbhanga,https://www.redbus.in/bus-tickets/patna-to-darbhanga
Patna (Bihar) to Raxaul,https://www.redbus.in/bus-tickets/patna-to-raxaul
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna
